user,login_count,total_activity,source_file,failed_attempts,threat_score
LBE0376,1,1,user_authentication_logs.csv,0,0.05
LCC0819,1,1,user_authentication_logs.csv,0,0.05
LJO1360,1,1,user_authentication_logs.csv,0,0.05
LJR0523,1,1,user_authentication_logs.csv,0,0.05
LQC0479,1,1,user_authentication_logs.csv,0,0.05
LVF1626,1,1,user_authentication_logs.csv,0,0.05
MAR0955,1,1,user_authentication_logs.csv,0,0.05
MAS0025,1,1,user_authentication_logs.csv,0,0.05
MBG3183,1,1,user_authentication_logs.csv,0,0.05
MCF0600,1,1,user_authentication_logs.csv,0,0.05
MCP0611,1,1,user_authentication_logs.csv,0,0.05
MDH0580,1,1,user_authentication_logs.csv,0,0.05
MDS0680,1,1,user_authentication_logs.csv,0,0.05
MGB1235,1,1,user_authentication_logs.csv,0,0.05
MIB0203,1,1,user_authentication_logs.csv,0,0.05
MJR0711,1,1,user_authentication_logs.csv,0,0.05
MOS0047,1,1,user_authentication_logs.csv,0,0.05
MPF0690,1,1,user_authentication_logs.csv,0,0.05
MPM0220,1,1,user_authentication_logs.csv,0,0.05
MSO0222,1,1,user_authentication_logs.csv,0,0.05
MTP1582,1,1,user_authentication_logs.csv,0,0.05
MYD0978,1,1,user_authentication_logs.csv,0,0.05
NAH1366,1,1,user_authentication_logs.csv,0,0.05
NIV1608,1,1,user_authentication_logs.csv,0,0.05
NKM1738,1,1,user_authentication_logs.csv,0,0.05
NKN1405,1,1,user_authentication_logs.csv,0,0.05
NWT0098,1,1,user_authentication_logs.csv,0,0.05
NZL1395,1,1,user_authentication_logs.csv,0,0.05
OFS0030,1,1,user_authentication_logs.csv,0,0.05
OHS0036,1,1,user_authentication_logs.csv,0,0.05
OKM1092,1,1,user_authentication_logs.csv,0,0.05
ONS0995,1,1,user_authentication_logs.csv,0,0.05
OSS1463,1,1,user_authentication_logs.csv,0,0.05
PBC0077,1,1,user_authentication_logs.csv,0,0.05
PLJ1771,1,1,user_authentication_logs.csv,0,0.05
PNL0301,1,1,user_authentication_logs.csv,0,0.05
PPF0435,1,1,user_authentication_logs.csv,0,0.05
PSF0133,1,1,user_authentication_logs.csv,0,0.05
PTH0005,1,1,user_authentication_logs.csv,0,0.05
RAB0589,1,1,user_authentication_logs.csv,0,0.05
RAR0725,1,1,user_authentication_logs.csv,0,0.05
RCG0584,1,1,user_authentication_logs.csv,0,0.05
RCW0822,1,1,user_authentication_logs.csv,0,0.05
REF1924,1,1,user_authentication_logs.csv,0,0.05
RGG0064,1,1,user_authentication_logs.csv,0,0.05
RHL0992,1,1,user_authentication_logs.csv,0,0.05
RKD0604,1,1,user_authentication_logs.csv,0,0.05
RMW0542,1,1,user_authentication_logs.csv,0,0.05
RRS0056,1,1,user_authentication_logs.csv,0,0.05
SAF1942,1,1,user_authentication_logs.csv,0,0.05
SIS0042,1,1,user_authentication_logs.csv,0,0.05
SLL0193,1,1,user_authentication_logs.csv,0,0.05
SNK1280,1,1,user_authentication_logs.csv,0,0.05
TAP0551,1,1,user_authentication_logs.csv,0,0.05
TMC0934,1,1,user_authentication_logs.csv,0,0.05
TMT0851,1,1,user_authentication_logs.csv,0,0.05
TNB1616,1,1,user_authentication_logs.csv,0,0.05
TNM0961,1,1,user_authentication_logs.csv,0,0.05
TRC1838,1,1,user_authentication_logs.csv,0,0.05
VAH1292,1,1,user_authentication_logs.csv,0,0.05
VCF1602,1,1,user_authentication_logs.csv,0,0.05
VRP0267,1,1,user_authentication_logs.csv,0,0.05
VSS0154,1,1,user_authentication_logs.csv,0,0.05
WCW1013,1,1,user_authentication_logs.csv,0,0.05
WDD0366,1,1,user_authentication_logs.csv,0,0.05
WDT1634,1,1,user_authentication_logs.csv,0,0.05
WHB1247,1,1,user_authentication_logs.csv,0,0.05
WOS1834,1,1,user_authentication_logs.csv,0,0.05
WSK1857,1,1,user_authentication_logs.csv,0,0.05
WWW0701,1,1,user_authentication_logs.csv,0,0.05
XHW0498,1,1,user_authentication_logs.csv,0,0.05
ZEH0685,1,1,user_authentication_logs.csv,0,0.05
ZIE0741,1,1,user_authentication_logs.csv,0,0.05
ZKP0542,1,1,user_authentication_logs.csv,0,0.05
